text,url,lang
"Going to Stanford on Friday night to protest BYU's latest fuckup, (The men's 🏐 team is playing.) and I need your help. 

I DON'T KNOW HOW TO POSTER!! HALLLLLLP!!!

#BYU #CES #LGBTQ https://t.co/lPzVmMQTzA",https://twitter.com/SallyGirl/status/1237080028602437632,native
"UK forward near term gas and power prices largely shrugged off a collapse in oil prices today. UK gas prices beyond Summer ’20, which are more affected by oil prices are down more. LNG disruptions are likely this week due to high winds.  
#CES #Energy #marketcrash2020 https://t.co/j5dItpP1EC",https://twitter.com/CESEnergyBroker/status/1237064787227541506,native
More pictures of our #CES historians. @cuca_tvp @chaix_mike @ricdahlin https://t.co/f93RtbqVpC,https://twitter.com/Smfleeman/status/1236479885385715712,native
"This may be the best niche #Mormon tweet I’ve ever tweeted. Also, shame on #BYU and the #CES. They have no integrity. #lds https://t.co/KksrMnXkTX https://t.co/EuT5chyLaC",https://twitter.com/krisis86/status/1236190150138396673,native
"Counter protesters showed up at #BYUI, only one of them planned on being there. He says “I’m out here trying to defend the Prophet and the Doctrine” #CES #BYU #honorcode https://t.co/djGDaup3MW",https://twitter.com/LdsZion/status/1236081106983587840,native
Remember when Steve Jobs and @Apple hijacked #CES? https://t.co/WG78DjXudS,https://twitter.com/DigitalTrends/status/1235856394810605568,native
"Say whaaat? Just found this 1999 CES Vegas clipping about the wire-less house of the future including a computer that downloads films, and #Bluetooth which will 'eventually come down in price' #CES #blastfrompast https://t.co/qkttNPLeg9",https://twitter.com/CtgIntelligence/status/1235855336604463105,native
Twin for the win!💗#ReadAcrossAmericaWeek #CES #TeacherTwitter #TwinDay https://t.co/pRjMUDbw8P,https://twitter.com/brimooneyhan/status/1235784116911640576,native
"Winner of not only One... or Two... but THREE innovation awards at CES 🏆 . We believe that clear vision is a right, not a privilege. Learn more here: https://t.co/v5tXY09uFS
 #HealthTech #WellnessTech #EyeQue #CES #Innovation https://t.co/eONRXXnzxw",https://twitter.com/EyeQueCorp/status/1235701660778979331,native
"Matt Dixon (@matthewxdixon) joined us on the #VoicesOfCX podcast a couple of seasons ago to talk about the value of providing an effortless experience. A consistent, low effort experience can often go a lot further than moments of surprise and delight #CES https://t.co/TIpuKbP68U",https://twitter.com/worthix/status/1235693571379998720,native
"Heads up, #AVTweeps! Take advantage of 10% off our XMS-1010P managed switch and XAP-1440 wireless outdoor access point all month long! 🍀
#Luxul #Legrand #CEDIA #CES #Tech #News #AV #CEPro #SandVC #AVPros #Business #ISE https://t.co/qsZaKkbEMP",https://twitter.com/LuxulCorp/status/1235340984424243200,native
#CES 2020 for Beginners! Pro Tips for First Time Attendees! https://t.co/0Hc0PooD8A https://t.co/LMC0VQvrfW,https://twitter.com/Snubs/status/1234810770636013569,native
The RetroN Jr. Lets You Play All Your Tiny Game Boy Games on Your Giant HDTV https://t.co/gsGjXUzkfX #ces,https://twitter.com/TakamasaKashima/status/1234666761900834817,japanese
#Bridge the digital divide through access to technology.  Enter the Global Tech Challenge presented by #CES and the #WorldBank. April 15 deadline. #CiscoWOI https://t.co/xqUCerdVeU https://t.co/Eoh7CA4mxJ,https://twitter.com/elaineGOODman/status/1237228877505794052,native
"Did you see our latest video?

On this Talk of The Town show, Patrick Valtin shares his story of becoming an American citizen. You don't want to miss it!
Click here to watch now : https://t.co/un5WMM55qX

#TalkoftheTown #CES #American #Citizen #Citizenship https://t.co/gKKbmOAUyI https://t.co/EvBLyh8iKI",https://twitter.com/CESInc1/status/1237121105271443456,native
"When I agreed to do an update on the #CES literature for the @NBP_CN meeting @BritSpine I thought that would be a quick, simple job. 

I'm now on paper number 95..............

Fit that in 10 slides 🤦",https://twitter.com/michangus/status/1237112063933190145,native
