text,url,lang
"Watch Live !! Hon'ble PM Shri Narendra Modi ji addresses the 5th India International Science Festival 2019, Kolkata via Video conference. #IISF2019 #ScienceFestival #PMModiVideoConferencing https://t.co/xG3J5LxsEj",https://twitter.com/DrHVoffice/status/1191669823173906432,indian
"While delivering my address, I spoke highly about our scientists who are collaborating internationally on a wide spectrum ranging from basic sciences to mega-science discovery programs. @PMOIndia @IndiaDST @DBTIndia @MEAIndia @iisfofficial #IISF2019 https://t.co/XNmqZoxPg8",https://twitter.com/drharshvardhan/status/1191762974261661696,indian
"Excited to be at #IISFMediaConclave #boseinstitute today &amp; tomorrow ; a unique event at #IISF2019 that brings together scientists, #scicommers, journalists, #masscomm students &amp; educators to discuss issues pertaining to #scicomm in #India.

If you are around, come say hi 🙂 https://t.co/Vq09EaQAnu",https://twitter.com/SarahHyder/status/1192023196494528512,indian
"Women Scientists’ and Entrepreneurs’ Conclave is a step forward to inspire young women to discuss, analyse and suggest solutions to counter the problems faced bu the women scientists: Secy @IndiaDST Shri Ashutosh Sharma   

#IISF2019 https://t.co/gELEJna7F5",https://twitter.com/PIB_India/status/1192663441560858624,indian
"We are celebrating science at #IISF2019.
We are progressing in the domain of science &amp; technology
in a great manner. We need to project our advancement to the global community: Jayant Sahasrabudhe, National Organizing Secy, Vijnana Bharati https://t.co/muusJpjlgr",https://twitter.com/PIB_India/status/1191990945094365185,indian
"Student from Raja Bazaar Science College, #Kolkata at #IISF2019 .
#IISFMediaConclave #sciencefestival https://t.co/GUSzia66sK",https://twitter.com/IndiaDST/status/1192679335322218496,indian
"India International Science Festival (IISF) 2019:

Kolkata students create Guinness World Records with largest astrophysics assemble

#IISF2019

https://t.co/T5zfJhiCFJ",https://twitter.com/airnewsalerts/status/1191750371535753218,indian
"I spoke about how we need to connect the discovery science to solution science by taking the research out from the laboratory to the people, society and market. #IISF2019 @PMOIndia @iisfofficial @IndiaDST @CSIR_IND @Vibha_india @DBTIndia https://t.co/2okGRyXhpN",https://twitter.com/drharshvardhan/status/1191764965985636352,indian
"Students at #IISF attempting to make a  #GuinnessWorldRecord for the most people assembling Radio kits simultaneously. 

#IISF2019 https://t.co/vADscK0hyq",https://twitter.com/PIB_India/status/1192379701802569728,indian
"Women Scientists’ &amp; Entrepreneurs Conclave, which was inaugurated as a part of the India International Science Festival 2019, highlighted the importance of networking to enhance the representation of women in science and research

#IISF2019 

Read here: https://t.co/zTURfy7mLo",https://twitter.com/PIB_India/status/1192419204906942469,indian
"Huge and Enthusiastic participation of students, young officials and budding scientists during the technical sessions of India International Science Festival. 

#IISF2019 

Read here: https://t.co/VBtvkGFNHe",https://twitter.com/PIB_India/status/1192338607073185792,indian
"Day 1 at #IISF2019

Largest astrophysics lesson and assembly of spectroscopy attempted with participation of over 1750 students from all across India  

#WorldRecord https://t.co/wv23m6VC0v",https://twitter.com/PIB_India/status/1191607169294057473,indian
India International Science Festival #IISF2019 Mega  Event happening in #Kolkata where #STPIINDIA participated under leadership of DG Dr. @Omkar_Raii https://t.co/5Eqwmqidan,https://twitter.com/manjit_nayak/status/1192057196420321285,indian
"So excited to announce that my film “The Climate Challenge” won the 1st prize at the International Science Film Festival of India 2019 held at Satyajit Ray Film and Television Institute (SRFTI), Kolkata. Thanks to everyone who have supported me in this endeavour. 
#IISF2019 https://t.co/aHOORuTYE7",https://twitter.com/rakprao/status/1193945880992157696,indian
"PM Shri @narendramodi ji will inaugurate the India International Science Festival 2019 in Kolkata, Bengal on 5 November 2019. 

Watch Live at 
● https://t.co/4ryhGY9sWU
● https://t.co/kYYBEPFFh8
● https://t.co/EUJi7CpBDy https://t.co/Hr9dh6y31Z

#IISF2019 https://t.co/ycj0FnVPOn",https://twitter.com/SubratPathak12/status/1191654625755009024,indian
"‘Guinness World Record of Most students assembling Radio kits’ created with the participation of over 400 students,at India International Science Festival #IISF2019

Union Minster @drharshvardhan dedicates the award to CV Raman &amp; Jagadish Chandra Bose 

https://t.co/6LdIAee3vY",https://twitter.com/airnewsalerts/status/1192516715109740544,indian
"PM @narendramodi to inaugurate the 5th India International Science Festival #IISF2019

Prime Minister will inaugurate #IISF by addressing the audience at Biswa Bangla Convention Centre, #Kolkata through video conference at 4:00 PM today

Read here: https://t.co/6g9H8A8mgZ https://t.co/is7EK3vWUk",https://twitter.com/PIB_India/status/1191590948603490304,indian
"Minister @maleehjamal, with S&amp;T Minister of India @drharshvardhan,  Minister of Higher Ed. of Afghanistan @TawabB and Education Minister of Bhutan Jai Bir Rai, met with &amp; provided encouragement and motivation to students from all across India participating in #IISF2019 https://t.co/dbGcxqKVKl",https://twitter.com/MoCSTmv/status/1192059122532913152,indian
"Union Minister @drharshvardhan urges students to go for start-ups.

Inaugurating the students’ Engineering Model Competition Meet and Expo at part of the 5th India International Science Festival #IISF2019 in Kolkata today. 

https://t.co/QqFsyVjt2U",https://twitter.com/PIB_India/status/1192080025853419526,indian
"During #IISF2019, I had the opportunity to inspect, BrahMos, a supersonic missile and the LRSAM, Long Range Surface to Air Missile. These missiles have strengthened India's security through its destructive accuracy. @iisfofficial @PMOIndia @DRDO_India @IndiaDST @DBTIndia @adgpi https://t.co/kQZNKumW9S",https://twitter.com/drharshvardhan/status/1191676721298165760,indian
"Prime Minister Narendra Modi addresses the 5th India International Science Festival #IISF2019 through video conference.

#IISF2019 is being held in Kolkata from 5th to 8th Nov with the theme RISEN India – Research, Innovation, and Science Empowering the Nation https://t.co/smtN8QRooL",https://twitter.com/airnewsalerts/status/1191673064968245253,indian
"Minister Mohamed Maleeh Jamal attends the India International Science Festival 2019 and took part in the Overseas Science and Technology Ministers and Diplomat Conclave in Kolkata, India.
#IISF2019 https://t.co/qKric3IDYu",https://twitter.com/MoCSTmv/status/1191651636520706048,indian
"Delivering the Valedictory Address at #IISF2019, I mentioned the achievements of our scientists esp those at @CSIR_IND who have conducted Whole Genome Sequencing of 1,008 Indians from different population spectrum across the country @PMOIndia @IndiaDST @DBTIndia @Vibha_india https://t.co/05Cgc7ngx3",https://twitter.com/drharshvardhan/status/1192898851717279744,indian
"Watch LIVE: Valedictory Session of India International Science Festival

#IISF2019

https://t.co/ZOQFHCTSe3

@iisfofficial
@IndiaDST 
@drharshvardhan",https://twitter.com/PIB_India/status/1192751154590957568,indian
"Very inspiring quote by Hon'ble PM on scientific reseach during the inaugural session of #IISF2019 ""There are no failures in science, 
there are efforts, there are experiments and finally, there is success!"" @dstGujarat @IndiaDST @VigyanPrasar @PrinSciAdvOff @InfoGujcost @CMOGuj https://t.co/0Na1l7V5c7",https://twitter.com/narottamsahoo/status/1191929739595993091,indian
"Watch Live !!  Hon'ble PM Shri Narendra Modi ji addresses the 5th India International Science Festival 2019, Kolkata via Video conference. #IISF2019 #ScienceFestival #PMModiVideoConferencing https://t.co/p175PO2cDX",https://twitter.com/manoranjana/status/1191666613117784065,indian
"India is a land of great innovations and has become a beacon of inspiration for the world. I am happy to have opened the National Start-Up Conclave &amp; Expo today at #IISF2019.

@IndiaDST @official_cgcri @Vibha_india @PMOIndia
@iisfofficial https://t.co/9NpCYQXv6A",https://twitter.com/drharshvardhan/status/1192422038616457219,indian
"@mediasurya Prasar Bharati Chairman @mediasurya said, ""The gap between scientist and media people needs to be breached...""
#IISF2019 
#IISFMediaConclave https://t.co/39DcXdKDCM",https://twitter.com/PBNS_India/status/1191991546104516608,indian
I am indeed pleased to be here at the India International Science Festival today in #Kolkata. #IISF2019 is a celebration to promote S &amp; T. The festival will also be addressed by PM Sh @narendramodi ji via video conferencing. @IndiaDST @PMOIndia @DBTIndia @iisfofficial https://t.co/Py5KjisWsR,https://twitter.com/drharshvardhan/status/1191622665091481600,indian
About 100 innovative &amp; socially relevant technologies are being showcased in the exhibition. Seminars &amp; discussions on innovations &amp; entrepreneurship are being organized during the Conclave. #IISF2019 @IndiaDST @official_cgcri @Vibha_india @PMOIndia  @iisfofficial @PMOIndia https://t.co/enaQQzInV0,https://twitter.com/drharshvardhan/status/1192422075383726081,indian
"I expressed the importance of how this conclave will help us to charter a road map of cooperation on a bilateral level that can foster research, education and innovation partnerships.  #IISF2019 @PMOIndia @iisfofficial @IndiaDST @CSIR_IND @Vibha_india @DBTIndia https://t.co/qs5zngXCxs",https://twitter.com/drharshvardhan/status/1191785622349860864,indian
".@prasarbharati Chairman A Surya Prakash addresses 5th India International Science Festival
#IISF2019 https://t.co/jr29vVFDae",https://twitter.com/DDNewslive/status/1191994968124116992,indian
"In a short while from now!  400 students will be attempting 
#GuinnessWorldRecord for largest electronic lesson and assembly of optical media communication units at a single location

#IISF2019 https://t.co/lBpStNcaGQ",https://twitter.com/PIB_India/status/1191997560686166016,indian
"Students and delegates participating at the screening and presentation of Science Fiction films as part International Science Film Festival Of India 

#IISF2019 

Connecting science with mankind https://t.co/lljE05T3h7",https://twitter.com/PIB_India/status/1192377011932581888,indian
"#iisf2019,here in hall no.5,vigyan manthan is going on,kindly join us,shri Hemant lagvankar from MVP Mumbai speaking  about the marathi science  literature.@KapilT3 @iisfofficial @manojpatairiya @NavneetKumarGu8 @Kavitav83496076 https://t.co/dKZSDYeqB8",https://twitter.com/SShrivastri/status/1191973040202158081,indian
"On the 2nd day of the #IISF2019, I inaugurated the Student Engineering Model Competition. The expo will demonstrate some modern engineering models which have a societal impact.
@PMOIndia @IndiaDST @DBTIndia @CSIR_IND https://t.co/2OttI4CAfk",https://twitter.com/drharshvardhan/status/1191993992168128519,indian
"The conclave will create further opportunities to inculcate scientific &amp; tech temper among young women. It will encourage women to become ace players in science, tech &amp; innovation. #IISF2019
@PMOIndia @IndiaDST @DBTIndia @CSIR_IND @iisfofficial https://t.co/lfwYFhY1TQ",https://twitter.com/drharshvardhan/status/1192803389433765890,indian
"PM @narendramodi to inaugurate 5th India International Science Festival #IISF2019 by addressing audience at Biswa Bangla Convention Centre, Kolkata through video conference today at 4:00 PM.

Theme this year is RISEN India– Research, Innovation, and Science Empowering the Nation. https://t.co/2LKMkeGki6",https://twitter.com/airnewsalerts/status/1191588263045132288,indian
"The DST Govt of Gujarat Pavilon at #IISF2019 is furnished with interactive exhibits of new age technologies to engage, educate and excite students and teachers about the wonder world of S&amp;T. @dstGujarat @IndiaDST @iisfofficial @hareets @CMOGuj @PMOIndia https://t.co/HXGyM7X9OL",https://twitter.com/narottamsahoo/status/1191670036429201413,indian
"Union Minister @drharshvardhan visits Science Expo during India International Science Festival, in Kolkata 

#IISF an opportunity to bridge the gap and bring science near to the people, particularly children: Union Minister @drharshvardhan

#IISF2019 https://t.co/IOlXSaKL3o",https://twitter.com/PIB_India/status/1191620152229416961,indian
